Time,data
2018/9/1 0:00,0
2018/9/1 1:00,0
2018/9/1 2:00,0
2018/9/1 3:00,0
2018/9/1 4:00,0
2018/9/1 5:00,0
2018/9/1 6:00,0
2018/9/1 7:00,0.086
2018/9/1 8:00,3.816
2018/9/1 9:00,3.04
2018/9/1 10:00,1.05
2018/9/1 11:00,0.176
2018/9/1 12:00,0.164
2018/9/1 13:00,0.446
2018/9/1 14:00,0.56
2018/9/1 15:00,0.214
2018/9/1 16:00,0.478
2018/9/1 17:00,0.224
2018/9/1 18:00,0.208
2018/9/1 19:00,0.204
2018/9/1 20:00,0.132
2018/9/1 21:00,0.128
2018/9/1 22:00,0.082
2018/9/1 23:00,0.034
2018/9/2 0:00,1.062
2018/9/2 1:00,0.202
2018/9/2 2:00,0.038
2018/9/2 3:00,0.03
2018/9/2 4:00,0.028
2018/9/2 5:00,0.028
2018/9/2 6:00,0.98
2018/9/2 7:00,1.416
2018/9/2 8:00,1.504
2018/9/2 9:00,1.37
2018/9/2 10:00,0.576
2018/9/2 11:00,0.892
2018/9/2 12:00,0.402
2018/9/2 13:00,0.518
2018/9/2 14:00,0.418
2018/9/2 15:00,0.694
2018/9/2 16:00,0.51
2018/9/2 17:00,0.156
2018/9/2 18:00,0.564
2018/9/2 19:00,0.148
2018/9/2 20:00,0.162
2018/9/2 21:00,0.15
2018/9/2 22:00,0.112
2018/9/2 23:00,0.05
2018/9/3 0:00,0.026
2018/9/3 1:00,0.028
2018/9/3 2:00,0.022
2018/9/3 3:00,0.028
2018/9/3 4:00,0.244
2018/9/3 5:00,0.034
2018/9/3 6:00,0.024
2018/9/3 7:00,0.266
2018/9/3 8:00,2.038
2018/9/3 9:00,0.104
2018/9/3 10:00,0.606
2018/9/3 11:00,0.592
2018/9/3 12:00,1.074
2018/9/3 13:00,0.436
2018/9/3 14:00,0.186
2018/9/3 15:00,0.508
2018/9/3 16:00,0.108
2018/9/3 17:00,1.124
2018/9/3 18:00,0.734
2018/9/3 19:00,0.174
2018/9/3 20:00,1.432
2018/9/3 21:00,0.424
2018/9/3 22:00,0.026
2018/9/3 23:00,0.022
2018/9/4 0:00,0.042
2018/9/4 1:00,0.03
2018/9/4 2:00,0.03
2018/9/4 3:00,0.03
2018/9/4 4:00,0.032
2018/9/4 5:00,0.032
2018/9/4 6:00,0.032
2018/9/4 7:00,0.03
2018/9/4 8:00,2.45
2018/9/4 9:00,0.346
2018/9/4 10:00,0.608
2018/9/4 11:00,1.128
2018/9/4 12:00,0.372
2018/9/4 13:00,0.24
2018/9/4 14:00,0.23
2018/9/4 15:00,0.612
2018/9/4 16:00,0.592
2018/9/4 17:00,0.036
2018/9/4 18:00,0.47
2018/9/4 19:00,1.23
2018/9/4 20:00,0.766
2018/9/4 21:00,0.398
2018/9/4 22:00,0.386
2018/9/4 23:00,0.966
2018/9/5 0:00,0.21
2018/9/5 1:00,0.048
2018/9/5 2:00,0.03
2018/9/5 3:00,0.034
2018/9/5 4:00,0.024
2018/9/5 5:00,0.024
2018/9/5 6:00,0.026
2018/9/5 7:00,2.384
2018/9/5 8:00,1.916
2018/9/5 9:00,0.666
2018/9/5 10:00,0.314
2018/9/5 11:00,0.18
2018/9/5 12:00,0.038
2018/9/5 13:00,0.348
2018/9/5 14:00,0.18
2018/9/5 15:00,0.044
2018/9/5 16:00,0.116
2018/9/5 17:00,0.308
2018/9/5 18:00,2.45
2018/9/5 19:00,0.706
2018/9/5 20:00,0.226
2018/9/5 21:00,0.686
2018/9/5 22:00,0.218
2018/9/5 23:00,1.898
2018/9/6 0:00,2.096
2018/9/6 1:00,0.066
2018/9/6 2:00,0.03
2018/9/6 3:00,0.026
2018/9/6 4:00,0.024
