feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,3.816,3.04,1.05,0.176,0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062
0.0,0.0,0.0,0.0,0.0,0.0,0.086,3.816,3.04,1.05,0.176,0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202
0.0,0.0,0.0,0.0,0.0,0.086,3.816,3.04,1.05,0.176,0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038
0.0,0.0,0.0,0.0,0.086,3.816,3.04,1.05,0.176,0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03
0.0,0.0,0.0,0.086,3.816,3.04,1.05,0.176,0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028
0.0,0.0,0.086,3.816,3.04,1.05,0.176,0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028
0.0,0.086,3.816,3.04,1.05,0.176,0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98
0.086,3.816,3.04,1.05,0.176,0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416
3.816,3.04,1.05,0.176,0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504
3.04,1.05,0.176,0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37
1.05,0.176,0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576
0.176,0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892
0.164,0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892,0.402
0.446,0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892,0.402,0.518
0.56,0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892,0.402,0.518,0.418
0.214,0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892,0.402,0.518,0.418,0.694
0.478,0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892,0.402,0.518,0.418,0.694,0.51
0.224,0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892,0.402,0.518,0.418,0.694,0.51,0.156
0.208,0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892,0.402,0.518,0.418,0.694,0.51,0.156,0.564
0.204,0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892,0.402,0.518,0.418,0.694,0.51,0.156,0.564,0.148
0.132,0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892,0.402,0.518,0.418,0.694,0.51,0.156,0.564,0.148,0.162
0.128,0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892,0.402,0.518,0.418,0.694,0.51,0.156,0.564,0.148,0.162,0.15
0.082,0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892,0.402,0.518,0.418,0.694,0.51,0.156,0.564,0.148,0.162,0.15,0.112
0.034,1.062,0.202,0.038,0.03,0.028,0.028,0.98,1.416,1.504,1.37,0.576,0.892,0.402,0.518,0.418,0.694,0.51,0.156,0.564,0.148,0.162,0.15,0.112,0.05
